% Model,effective_dispersion_Pe_u_brain_liver_correct_T.mph
% Version,COMSOL 5.5.0.292
% Date,"Aug 22 2020, 17:36"
% Table,finer mesh 2 - Study 2 - sweep
% PL (Pa),Pe (1),D_star_cb_xx (m^2/s)
6.3,0.009998787951968346,3.4009288936739576E-11
63,0.09998787947504965,3.40704914145667E-11
630,0.9998787902870028,3.8799709124853754E-11
1260,1.9997575706546924,4.585974065394208E-11
2520,3.9995151016293775,5.520266787820075E-11
5040,7.999030044516412,6.818659869728571E-11
10080,15.998059453885775,9.940899959629335E-11
20160,31.996116365760678,1.954691517544738E-10
40320,63.992222552098795,4.870583905379863E-10
80640,127.98440429547064,1.286718225072356E-9
322560,511.93662757678453,8.359120308619822E-9
